i,box_h,pred,conf,illegible,face_px_det,face_px_geo,anchor,face,face_usable
218,112.0,-1,0.2852,True,0.0,12.444444444444443,False,False,False
219,128.0,20,0.927,False,0.0,14.222222222222221,True,False,False
220,103.0,20,0.3824,False,0.0,11.444444444444445,False,False,False
221,124.0,20,0.8353,False,0.0,13.777777777777777,True,False,False
222,114.0,36,0.182,False,0.0,12.666666666666666,False,False,False
223,118.0,28,0.2224,False,0.0,13.11111111111111,False,False,False
224,126.0,36,0.3073,False,0.0,14.0,False,False,False
225,133.0,20,0.6974,False,0.0,14.777777777777777,False,False,False
226,101.0,20,0.4867,False,0.0,11.222222222222221,False,False,False
227,119.0,10,0.8322,False,0.0,13.222222222222221,True,False,False
228,119.0,10,0.5711,False,0.0,13.222222222222221,False,False,False
229,190.0,24,0.585,False,0.0,21.11111111111111,False,False,False
230,123.0,6,0.5264,False,0.0,13.666666666666666,False,False,False
231,125.0,23,0.4213,False,0.0,13.888888888888888,False,False,False
232,118.0,20,0.7453,False,0.0,13.11111111111111,True,False,False
233,109.0,-1,0.9406,True,0.0,12.11111111111111,False,False,False
234,114.0,30,0.4963,False,0.0,12.666666666666666,False,False,False
235,131.0,20,0.3561,False,0.0,14.555555555555555,False,False,False
236,123.0,10,0.6425,False,0.0,13.666666666666666,False,False,False
237,115.0,30,0.4174,False,0.0,12.777777777777777,False,False,False
238,120.0,30,0.3167,False,0.0,13.333333333333332,False,False,False
239,125.0,20,0.6159,False,17.666666666666668,13.888888888888888,False,True,False
240,120.0,30,0.4046,False,0.0,13.333333333333332,False,False,False
241,128.0,23,0.1756,False,0.0,14.222222222222221,False,False,False
242,126.0,20,0.6244,False,0.0,14.0,False,False,False
243,122.0,5,0.2204,False,0.0,13.555555555555555,False,False,False
244,109.0,30,0.4865,False,0.0,12.11111111111111,False,False,False
245,124.0,31,0.1421,False,0.0,13.777777777777777,False,False,False
246,113.0,10,0.5808,False,0.0,12.555555555555555,False,False,False
247,126.0,20,0.6033,False,0.0,14.0,False,False,False
248,110.0,-1,0.2349,True,0.0,12.222222222222221,False,False,False
249,118.0,23,0.5286,False,0.0,13.11111111111111,False,False,False
250,122.0,20,0.7933,False,0.0,13.555555555555555,True,False,False
251,121.0,31,0.2395,False,0.0,13.444444444444443,False,False,False
252,119.0,30,0.4715,False,0.0,13.222222222222221,False,False,False
253,101.0,5,0.2074,False,0.0,11.222222222222221,False,False,False
254,111.0,10,0.2119,False,0.0,12.333333333333332,False,False,False
255,114.0,33,0.1786,False,0.0,12.666666666666666,False,False,False
256,105.0,10,0.2649,False,0.0,11.666666666666666,False,False,False
257,118.0,20,0.7839,False,0.0,13.11111111111111,True,False,False
258,108.0,33,0.2402,False,0.0,12.0,False,False,False
259,101.0,20,0.7343,False,0.0,11.222222222222221,True,False,False
260,106.0,20,0.312,False,0.0,11.777777777777777,False,False,False
261,115.0,20,0.514,False,15.333333333333334,12.777777777777777,False,True,False
262,116.0,20,0.9683,False,0.0,12.888888888888888,True,False,False
263,103.0,20,0.2977,False,0.0,11.444444444444445,False,False,False
264,106.0,11,0.3489,False,0.0,11.777777777777777,False,False,False
265,115.0,20,0.7774,False,0.0,12.777777777777777,True,False,False
266,108.0,34,0.096,False,0.0,12.0,False,False,False
267,148.0,20,0.2193,False,0.0,16.444444444444443,False,False,False
268,128.0,29,0.4124,False,0.0,14.222222222222221,False,False,False
269,157.0,20,0.1495,False,0.0,17.444444444444443,False,False,False
270,108.0,5,0.0989,False,0.0,12.0,False,False,False
271,127.0,29,0.2569,False,0.0,14.11111111111111,False,False,False
272,117.0,20,0.928,False,0.0,13.0,True,False,False
273,103.0,11,0.1813,False,0.0,11.444444444444445,False,False,False
274,110.0,-1,0.3126,True,0.0,12.222222222222221,False,False,False
275,116.0,20,0.636,False,0.0,12.888888888888888,False,False,False
276,102.0,11,0.3047,False,0.0,11.333333333333332,False,False,False
277,130.0,23,0.3177,False,0.0,14.444444444444443,False,False,False
278,156.0,20,0.3105,False,0.0,17.333333333333332,False,False,False
279,127.0,20,0.8789,False,0.0,14.11111111111111,True,False,False
280,118.0,4,0.176,False,0.0,13.11111111111111,False,False,False
281,102.0,20,0.4335,False,0.0,11.333333333333332,False,False,False
282,103.0,-1,0.2462,True,0.0,11.444444444444445,False,False,False
283,129.0,20,0.8435,False,0.0,14.333333333333332,True,False,False
284,128.0,29,0.4233,False,0.0,14.222222222222221,False,False,False
285,156.0,20,0.2925,False,0.0,17.333333333333332,False,False,False
286,108.0,8,0.2896,False,0.0,12.0,False,False,False
287,101.0,5,0.0648,False,0.0,11.222222222222221,False,False,False
288,105.0,23,0.1924,False,0.0,11.666666666666666,False,False,False
289,153.0,20,0.2249,False,0.0,17.0,False,False,False
290,130.0,20,0.6247,False,0.0,14.444444444444443,False,False,False
291,110.0,-1,0.2193,True,0.0,12.222222222222221,False,False,False
292,128.0,29,0.5161,False,0.0,14.222222222222221,False,False,False
293,100.0,20,0.4838,False,0.0,11.11111111111111,False,False,False
294,110.0,28,0.3987,False,0.0,12.222222222222221,False,False,False
295,111.0,10,0.3133,False,0.0,12.333333333333332,False,False,False
296,126.0,20,0.6732,False,0.0,14.0,False,False,False
297,129.0,29,0.4741,False,0.0,14.333333333333332,False,False,False
298,156.0,20,0.2485,False,0.0,17.333333333333332,False,False,False
299,105.0,8,0.3465,False,0.0,11.666666666666666,False,False,False
300,111.0,31,0.1458,False,0.0,12.333333333333332,False,False,False
301,121.0,28,0.4076,False,0.0,13.444444444444443,False,False,False
302,128.0,20,0.6936,False,0.0,14.222222222222221,False,False,False
303,152.0,20,0.3415,False,0.0,16.88888888888889,False,False,False
304,115.0,4,0.193,False,0.0,12.777777777777777,False,False,False
305,112.0,10,0.3235,False,0.0,12.444444444444443,False,False,False
306,127.0,29,0.3939,False,0.0,14.11111111111111,False,False,False
307,133.0,20,0.7551,False,0.0,14.777777777777777,True,False,False
308,120.0,10,0.4313,False,0.0,13.333333333333332,False,False,False
309,153.0,20,0.3035,False,0.0,17.0,False,False,False
310,128.0,29,0.2805,False,0.0,14.222222222222221,False,False,False
311,107.0,20,0.257,False,0.0,11.888888888888888,False,False,False
312,105.0,6,0.264,False,0.0,11.666666666666666,False,False,False
313,152.0,20,0.7042,False,0.0,16.88888888888889,True,False,False
314,131.0,29,0.2937,False,0.0,14.555555555555555,False,False,False
315,129.0,20,0.4549,False,0.0,14.333333333333332,False,False,False
316,117.0,28,0.1452,False,0.0,13.0,False,False,False
317,105.0,20,0.3436,False,0.0,11.666666666666666,False,False,False
318,101.0,25,0.23,False,0.0,11.222222222222221,False,False,False
319,105.0,8,0.3719,False,0.0,11.666666666666666,False,False,False
320,111.0,-1,0.3923,True,0.0,12.333333333333332,False,False,False
321,118.0,28,0.452,False,0.0,13.11111111111111,False,False,False
322,131.0,29,0.5971,False,0.0,14.555555555555555,False,False,False
323,131.0,20,0.6973,False,0.0,14.555555555555555,False,False,False
324,110.0,31,0.1782,False,0.0,12.222222222222221,False,False,False
325,153.0,20,0.3732,False,0.0,17.0,False,False,False
326,102.0,-1,0.318,True,0.0,11.333333333333332,False,False,False
327,130.0,20,0.5029,False,0.0,14.444444444444443,False,False,False
328,107.0,25,0.1407,False,0.0,11.888888888888888,False,False,False
329,158.0,20,0.3338,False,0.0,17.555555555555554,False,False,False
330,118.0,28,0.1948,False,0.0,13.11111111111111,False,False,False
331,105.0,4,0.2406,False,0.0,11.666666666666666,False,False,False
332,131.0,29,0.7109,False,0.0,14.555555555555555,True,False,False
333,119.0,29,0.9518,False,0.0,13.222222222222221,True,False,False
334,140.0,24,0.7641,False,0.0,15.555555555555555,True,False,False
335,102.0,23,0.2285,False,0.0,11.333333333333332,False,False,False
336,140.0,24,0.5414,False,0.0,15.555555555555555,False,False,False
337,116.0,29,0.9446,False,0.0,12.888888888888888,True,False,False
338,124.0,29,0.8664,False,10.0,13.777777777777777,True,True,False
339,140.0,24,0.1961,False,0.0,15.555555555555555,False,False,False
340,106.0,-1,0.9162,True,0.0,11.777777777777777,False,False,False
341,142.0,24,0.3173,False,0.0,15.777777777777777,False,False,False
342,109.0,23,0.2878,False,0.0,12.11111111111111,False,False,False
343,152.0,24,0.8306,False,0.0,16.88888888888889,True,False,False
344,683.0,-1,0.6229,True,15.0,75.88888888888889,False,True,False
345,603.0,5,0.2994,False,16.333333333333332,67.0,False,True,False
346,622.0,5,0.3802,False,20.666666666666668,69.11111111111111,False,True,False
347,670.0,18,0.5342,False,0.0,74.44444444444444,False,False,False
348,120.0,20,0.884,False,0.0,13.333333333333332,True,False,False
349,103.0,20,0.5606,False,0.0,11.444444444444445,False,False,False
350,102.0,23,0.3023,False,0.0,11.333333333333332,False,False,False
351,115.0,20,0.8636,False,0.0,12.777777777777777,True,False,False
352,120.0,20,0.7803,False,0.0,13.333333333333332,True,False,False
353,160.0,20,0.6785,False,0.0,17.77777777777778,False,False,False
354,157.0,23,0.1726,False,0.0,17.444444444444443,False,False,False
355,149.0,20,0.5922,False,0.0,16.555555555555554,False,False,False
356,103.0,-1,0.2155,True,0.0,11.444444444444445,False,False,False
357,155.0,20,0.727,False,32.666666666666664,17.22222222222222,True,True,False
358,137.0,24,0.2858,False,0.0,15.222222222222221,False,False,False
359,127.0,10,0.5273,False,0.0,14.11111111111111,False,False,False
360,138.0,10,0.4319,False,0.0,15.333333333333332,False,False,False
361,100.0,20,0.8325,False,0.0,11.11111111111111,True,False,False
362,140.0,10,0.283,False,0.0,15.555555555555555,False,False,False
363,108.0,24,0.4606,False,0.0,12.0,False,False,False
364,138.0,11,0.3372,False,0.0,15.333333333333332,False,False,False
365,110.0,20,0.3449,False,0.0,12.222222222222221,False,False,False
366,102.0,20,0.9452,False,0.0,11.333333333333332,True,False,False
367,100.0,29,0.5041,False,0.0,11.11111111111111,False,False,False
368,101.0,10,0.3097,False,0.0,11.222222222222221,False,False,False
369,102.0,-1,0.1966,True,0.0,11.333333333333332,False,False,False
370,134.0,20,0.6648,False,0.0,14.888888888888888,False,False,False
371,101.0,20,0.7984,False,12.333333333333334,11.222222222222221,True,True,False
372,145.0,24,0.7212,False,0.0,16.11111111111111,True,False,False
373,120.0,1,0.3332,False,0.0,13.333333333333332,False,False,False
374,142.0,24,0.4729,False,0.0,15.777777777777777,False,False,False
375,108.0,29,0.2601,False,0.0,12.0,False,False,False
376,101.0,10,0.3344,False,0.0,11.222222222222221,False,False,False
377,100.0,20,0.5777,False,0.0,11.11111111111111,False,False,False
378,103.0,20,0.3992,False,0.0,11.444444444444445,False,False,False
379,109.0,24,0.6605,False,0.0,12.11111111111111,False,False,False
380,112.0,1,0.7074,False,0.0,12.444444444444443,True,False,False
381,131.0,22,0.6406,False,0.0,14.555555555555555,False,False,False
382,108.0,31,0.3409,False,0.0,12.0,False,False,False
383,101.0,10,0.833,False,0.0,11.222222222222221,True,False,False
